1719886020000,62965.12000000,62965.12000000,62965.11000000,62965.12000000,1.57930000,1719886079999,99440.81317730,191,1.49543000,94159.92940160,0
1719886080000,62965.11000000,62965.27000000,62965.11000000,62965.27000000,0.83349000,1719886139999,52480.81070300,118,0.59051000,37181.54640620,0
1719886140000,62965.27000000,62991.04000000,62965.26000000,62991.04000000,2.69817000,1719886199999,169910.97765490,527,2.32646000,146501.28925540,0
1719886200000,62991.04000000,63020.81000000,62991.03000000,63020.80000000,6.26540000,1719886259999,394755.44987320,814,5.19362000,327223.93896970,0
1719886260000,63020.81000000,63043.29000000,63020.80000000,63043.28000000,5.08275000,1719886319999,320391.17113230,584,3.52431000,222148.99816150,0
1719886320000,63043.27000000,63081.75000000,63043.27000000,63074.01000000,11.58599000,1719886379999,730634.17721060,1247,7.70294000,485768.22006830,0
1719886380000,63074.02000000,63107.82000000,63074.01000000,63094.75000000,25.69093000,1719886439999,1621024.70262550,1143,6.30219000,397619.90240790,0
1719886440000,63094.75000000,63094.75000000,63089.12000000,63089.12000000,1.50622000,1719886499999,95026.73144180,185,1.08712000,68585.46034460,0
1719886500000,63089.13000000,63127.10000000,63061.03000000,63061.04000000,40.92645000,1719886559999,2582175.43985580,1693,27.01682000,1704634.75184860,0
1719886560000,63061.03000000,63061.04000000,63038.01000000,63038.02000000,29.53893000,1719886619999,1862264.77598840,1108,4.94631000,311814.82759720,0
1719886620000,63038.01000000,63038.02000000,63011.97000000,63037.99000000,6.24303000,1719886679999,393465.32217040,1037,2.57161000,162065.87407390,0
1719886680000,63037.98000000,63055.90000000,63037.98000000,63055.89000000,1.47460000,1719886739999,92960.12421540,329,1.26816000,79946.27062730,0
1719886740000,63055.90000000,63070.19000000,63053.38000000,63064.01000000,6.33084000,1719886799999,399232.38097230,492,1.94272000,122507.04269320,0
1719886800000,63064.01000000,63092.47000000,63064.00000000,63070.33000000,5.62808000,1719886859999,355015.50129920,818,2.45030000,154545.44402470,0
1719886860000,63070.33000000,63076.00000000,63066.40000000,63066.42000000,2.67569000,1719886919999,168762.26078610,514,0.82231000,51865.26725050,0
1719886920000,63066.41000000,63066.42000000,63048.08000000,63048.09000000,3.43278000,1719886979999,216470.47013570,339,0.39262000,24757.44377160,0
1719886980000,63048.09000000,63048.09000000,63036.83000000,63041.99000000,3.70896000,1719887039999,233824.76875580,531,1.39773000,88112.75579310,0
1719887040000,63041.99000000,63042.00000000,63034.00000000,63038.00000000,2.18593000,1719887099999,137795.11888270,519,0.59536000,37529.99756620,0
1719887100000,63038.00000000,63038.00000000,63034.00000000,63034.00000000,2.07510000,1719887159999,130808.95023140,444,0.70258000,44288.76019760,0
1719887160000,63034.01000000,63048.00000000,63034.00000000,63047.99000000,2.55492000,1719887219999,161057.05658580,500,2.00441000,126354.53665170,0
1719887220000,63048.00000000,63054.00000000,63048.00000000,63050.01000000,1.68277000,1719887279999,106102.81444730,302,0.74895000,47223.31952690,0
1719887280000,63050.00000000,63050.01000000,63032.95000000,63034.92000000,12.73715000,1719887339999,803022.62611160,461,4.05651000,255761.93347960,0
1719887340000,63034.93000000,63034.93000000,63030.05000000,63030.06000000,1.72471000,1719887399999,108713.07894960,467,0.62197000,39202.82975740,0
1719887400000,63030.06000000,63030.06000000,63030.05000000,63030.06000000,1.41148000,1719887459999,88965.65819630,289,0.32223000,20310.17623380,0
1719887460000,63030.06000000,63052.00000000,63030.05000000,63051.99000000,7.34492000,1719887519999,463032.74336000,781,4.56369000,287687.27733440,0
1719887520000,63051.99000000,63093.37000000,63051.98000000,63084.01000000,42.92689000,1719887579999,2707351.96755570,1419,38.47246000,2426340.56306760,0
1719887580000,63084.01000000,63084.01000000,63054.01000000,63054.01000000,8.24283000,1719887639999,519892.59207720,664,0.27884000,17587.06909970,0
1719887640000,63054.02000000,63054.02000000,63031.81000000,63038.01000000,27.95163000,1719887699999,1762182.83898680,470,0.39615000,24977.16799170,0
1719887700000,63038.00000000,63038.01000000,63022.63000000,63028.54000000,8.74632000,1719887759999,551254.64709060,461,4.12488000,259967.12446580,0
1719887760000,63028.54000000,63028.54000000,63028.53000000,63028.54000000,0.64067000,1719887819999,40380.49171880,143,0.34037000,21453.02415980,0
1719887820000,63028.54000000,63028.54000000,62998.39000000,62998.40000000,41.97974000,1719887879999,2645188.33156310,862,2.80579000,176774.67512560,0
1719887880000,62998.40000000,62998.40000000,62973.32000000,62973.33000000,3.76322000,1719887939999,237030.42321040,463,0.63719000,40138.98819060,0
1719887940000,62973.32000000,62973.32000000,62959.56000000,62959.57000000,6.62608000,1719887999999,417221.55977430,419,0.34872000,21956.67136860,0
1719888000000,62959.57000000,62968.00000000,62959.56000000,62959.56000000,10.35370000,1719888059999,651896.12556660,470,2.81427000,177192.29426260,0
1719888060000,62959.57000000,62959.57000000,62950.00000000,62956.97000000,3.09805000,1719888119999,195031.08669640,369,2.39984000,151074.95309970,0
1719888120000,62956.97000000,62967.20000000,62956.96000000,62967.20000000,2.89036000,1719888179999,181975.78618680,355,2.28034000,143569.25300730,0
